produto,preco,data_hora,posicao,asin
"MONDIAL Furadeira de Impacto com maleta e 19 acessórios, Mondial, Laranja, 650W, 110V - FI-RH-01M",169.9,2025-09-14 16:43:51,1,B09KDZHSVM
Kit Conjunto de Ferramentas com 46 Peças Chaves Catraca Soquete Maleta Para Reparo,64.9,2025-09-14 16:43:51,2,B0FNXB59RN
"Kit de Ferramentas Profissional, 46 Peças, Conjunto de Soquetes com Catraca Reversível, Chaves Allen e Torx, para Reparos Automotivos",44.9,2025-09-14 16:43:51,3,B0FPRL4MCM
"Kit Chaves Precisão 115 Peças Magnético – Reparo Celular, iPhone, Notebook, PC, Tablet, Câmera, Consoles – Ferramentas Torx, Tri-Wing, Estojo Portátil Profissional",48.9,2025-09-14 16:43:51,4,B0FKWVXX2G
SPARTA Kit de Ferramentas 129 Peças com Maleta,99.94,2025-09-14 16:43:51,5,B076N2S8FV
"Conjunto de chaves de fenda de precisão 115 em 1 kit de ferramentas de reparo com kit de driver magnético, conjunto de chaves de fenda de precisão eletrônica com bolsa portátil para computador de reparo, telefone celular, PC, iPhone, tablets",27.98,2025-09-14 16:43:51,6,B092SPZFYT
JOGO DE FERRAMENTAS COM 200 PEÇAS,64.71,2025-09-14 16:43:51,7,B08N1LHYCF
Jogo De Ferramentas Com 163 Peças Vonder,372.16,2025-09-14 16:43:51,8,B0C9TZPX5J
"WAP Parafusadeira e Furadeira à Bateria 12V BPF-12K3, Kit de 13 Acessórios e Maleta, Empunhadura Emborrachada, Bivolt",134.99,2025-09-14 16:43:51,9,B09V1SM8QB
"Kit de Ferramentas com 46 Peças – Chave Catraca 1/4"", Soquetes Métricos, Extensor e Estojo – Para Uso Automotivo e Doméstico",43.9,2025-09-14 16:43:51,10,B0FKXQHDLR
"Eda 3WQ Chaves Combinadas na Bolsa Eda, Jogo 10 Peças, Prateado",36.21,2025-09-14 16:43:51,11,B0778XRDXZ
"Vonder, Jogo De Soquetes E Ponteiras Com Encaixe De 1/4"", 4,0 Mm A 13,0 Mm, Com 33 Peças.",141.25,2025-09-14 16:43:51,12,B0776VT6KN
"Tramontina 41110506 Jogo de Chaves de Fenda com Pontas Intercambiáveis, Conjunto de 6 Peças, Amarelo",24.99,2025-09-14 16:43:51,13,B076MJZF3S
EDA Chave De Fenda Cabo Verde 1/8' X 6' Cromo Vanádio Eda,3.77,2025-09-14 16:43:51,14,B07QWM884D
Bosch Kit de pontas e brocas V-Line 41 peças,109.89,2025-09-14 16:43:51,15,B07CTN73L1
Sparta Machado Cabo Fibra De Vidro Emborrachado Pedo 600G-Sparta,34.1,2025-09-14 16:43:51,16,B08DXMWHM1
EXTRATOR DE PARAFUSOS C/5 PC,14.59,2025-09-14 16:43:51,17,B0777QPZY5
WAP Kit de Ferramentas Manuais MKF21 com 21 Peças e Maleta Organizadora,69.9,2025-09-14 16:43:51,18,B09M7LW9LZ
"Alicate de Crimpar com Kit 1200 Terminais, Ferramentas de crimpagem autoajustáveis para 0,25-10mm², terminal de cabo de aço com ponteira quadrada",59.0,2025-09-14 16:43:51,19,B0FJ8DBLWD
Bosch Kit de Pontas e Brocas X-Line 33 pçs,74.9,2025-09-14 16:43:51,20,B07CTN7X2Y
