produto,preco,data_hora,posicao,asin
Máquina De Lavar Panasonic 16kg Branco NA-F160B6WA 110V,1999.0,2025-09-14 16:40:27,1,B08BWZCS2X
Máquina de lavar 12Kg Philco 16 Modos de operação PLR12A 127V,2299.0,2025-09-14 16:40:27,2,B0DYFBHS8N
Colormaq Maquina de Lavar Roupa Semi Automatica Tanquinho 20kg LCS20 Prata 220v,729.9,2025-09-14 16:40:27,3,B09KYJS768
Máquina de Lavar Brastemp 14Kg Branca com Ciclo Tira Manchas Advanced e Smart Sensor - BWK14BB 110V,2289.0,2025-09-14 16:40:27,4,B0CKC3XHRP
Panasonic Máquina de Lavar 12kg Titânio 127v NA-F120B1T,1909.54,2025-09-14 16:40:27,5,B08MZN6R36
Máquina de Lavar Electrolux 11kg Branca Essential Care com Easy Clean e Filtro Fiapos (LES11) - 127V,1799.0,2025-09-14 16:40:27,6,B084R94R4S
"Máquina de Lavar Electrolux 8,5kg Branca Turbo Economia com Jet&Clean e Filtro Fiapos (LAC09) - 127V",1649.0,2025-09-14 16:40:27,7,B07C885L73
Máquina de Lavar Brastemp 13Kg Cinza Platinum com Ciclo Tira Manchas Advanced e Ciclo Antibolinha - BWK13A9 110v,1899.0,2025-09-14 16:40:27,8,B0CKC2LWVD
"Máquina de Lavar 15kg Electrolux Essential Care com Cesto Inox, Jet&Clean e Ultra Filter (LED15) 220V",2099.0,2025-09-14 16:40:27,9,B09B8X923D
Máquina de Lavar Electrolux 13kg Branca Essential Care com Cesto Inox e Jet&Clean (LED13) - 127V,1949.0,2025-09-14 16:40:27,10,B09B7X4JSZ
Panasonic Máquina de Lavar 18kg Titânio Antibactéria 220v NA-F180P7T,2448.14,2025-09-14 16:40:27,11,B0C29MP9TT
Máquina de Lavar Brastemp 13Kg branca com Ciclo Tira Manchas Advanced e Ciclo Antibolinha - BWK13AB 110V,1899.0,2025-09-14 16:40:27,12,B0CKC3YKX6
SUGGAR LAVADORA DE ROUPAS LAVAMAX ECO 20KG 110V BRANCA LE2001BR,589.91,2025-09-14 16:40:27,13,B0BSR6FFD8
Panasonic Máquina de Lavar 17kg Branca 127v NA-F170B7W,2145.47,2025-09-14 16:40:27,14,B0C34XB115
Máquina de Lavar 14 Kg Philco PLR14B 12 Programas de Lavagem 127V,1699.0,2025-09-14 16:40:27,15,B0DKLTBW1X
Máquina de Lavar Brastemp 13Kg Cinza Platinum com Ciclo Tira Manchas Advanced e Ciclo Antibolinha - BWK13A9 220v,1899.0,2025-09-14 16:40:27,16,B0CKC5WGZW
Máquina de Lavar Brastemp 13Kg branca com Ciclo Tira Manchas Advanced e Ciclo Antibolinha - BWK13AB 220V,1999.9,2025-09-14 16:40:27,17,B0CL1696JS
Lavadora Midea HealthGuard Smart 11kg Branca 127V,2369.9,2025-09-14 16:40:27,18,B0CF681XNM
Máquina De Lavar Panasonic 16kg Branco NA-F160B6WA 110V,1999.0,2025-09-14 16:40:27,19,B08BWZCS2X
"Máquina de Lavar 14kg Electrolux Essential Care com Cesto Inox, Jet&Clean e Ultra Filter (LED14)",1989.9,2025-09-14 16:40:27,20,B09B829XY8
